Sum of the Beijing and Shanghai ETS Caps","Cap (previous year) - Cap (current year)
Cap = sum of Beijing and Shanghai caps","Max(5x trailing 6mo average price + USD 7,058) for Beijing,
(1x allowance price + USD 14,116) for Shanghai)",Names of the CCP Chairman between the dates they served,Assigned as 0.5 as the CCP is considered a centrist party,Backfilled from annual reported to daily frequency,Backfilled from quarterly reported to daily frequency,"The values from WBOpen Dat and Statista (for 2023, and quarterly) have been considered ahead of the value computed as GDP/Population, because only work force is considered in GDP per capita estimate",Backfilled from annual reported values,"1 if GDP decreases for three consecutive prior quarters, 0 otherwise",If there was any other prevailing carbon taxes in China during the period of the permit regulation,"Beijing’s air quality is typically the most reported climate hazard in China (as air quality is linked to extreme temperatures), and is hence used as a proxy for extreme climate events.  ",Backfilled from available values,Backfilled from available values
Date,Allowance price,Beijing ETS Allowance price,Shanghai ETS Allowance price,Compliance Period Identifier Bejijing,Compliance Period Identifier Shanghai,Compliance Period Identifier,Compliance Period Identifier (Encoded),Market Stability Action,Number of new free allowances Introduced,Number of new auctioned allowances,Weighted average sectoral abatement difficulty,Traded Volume,Cap Beijing,Cap Shanghai,Cap,Annual Cap Reduction,Penalty for Non-Compliance,Regime name,Regime type,Population,GDP,GDP/Capita,Inflation,Recession Indicator,Other Carbon tax,Beijing Air Quality Index,Average Global Temperature Anomaly in Celsius,Cumulative VCM market surplus by sector (Issuance minus retirement) tCO2e
2018-12-21,2.90,5.81,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-22,2.90,5.81,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-23,2.90,5.81,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-24,3.30,6.61,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-25,3.63,7.26,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-26,3.74,7.49,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-27,4.26,8.53,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-28,4.14,8.28,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-29,4.14,8.28,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-30,4.14,8.28,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2018-12-31,4.14,8.28,4.25,2018,Phase Two,2018 | Phase Two,2,0,"202,660,000","7,340,000",4.21,"5,880,000","52,000,000","158,000,000","210,000,000","1,000,000","14,121",Xi Jinping,0.5,"1,405,000,000","13,894,907,857,925","9,905",1.93,0,6,50.70,0.94,101.69
2019-01-01,4.14,8.28,4.25,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,101.69
2019-01-02,4.79,9.58,4.25,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-03,5.23,10.46,4.25,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-04,7.67,11.06,4.27,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-05,7.67,11.06,4.27,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-06,7.67,11.06,4.27,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-07,7.67,11.06,4.27,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-08,2.35,11.06,4.70,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-09,2.59,11.06,5.17,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-10,2.84,11.06,5.69,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-11,3.08,11.06,6.17,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-12,3.08,11.06,6.17,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-13,3.08,11.06,6.17,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-14,3.08,11.06,6.17,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-15,3.08,11.06,6.17,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-16,3.08,11.06,6.17,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-17,2.43,11.06,4.86,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-18,4.43,8.85,4.86,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-19,4.43,8.85,4.86,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-20,4.43,8.85,4.86,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-21,2.21,8.85,4.42,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-22,2.21,8.85,4.42,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-23,2.21,8.85,4.42,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-24,6.62,9.21,4.02,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-25,5.45,10.90,4.02,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-26,5.45,10.90,4.02,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-27,5.45,10.90,4.02,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-28,5.45,10.90,4.02,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-29,4.46,8.91,4.02,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,111.26
2019-01-30,4.46,8.91,4.02,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-01-31,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-01,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-02,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-03,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-04,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-05,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-06,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-07,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-08,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-09,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-10,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-11,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-12,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-13,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-14,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-15,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-16,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-17,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-18,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-19,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-20,2.21,8.91,4.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-21,2.45,8.91,4.91,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-22,7.21,9.03,5.40,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-23,7.21,9.03,5.40,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-24,7.21,9.03,5.40,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-25,7.47,9.00,5.94,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-26,3.27,9.00,6.53,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-27,2.99,9.00,5.99,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-02-28,2.75,9.00,5.49,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,118.29
2019-03-01,2.75,9.00,5.49,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,118.29
2019-03-02,2.75,9.00,5.49,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-03,2.75,9.00,5.49,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-04,3.02,9.00,6.05,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-05,7.63,9.21,6.05,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-06,7.47,9.49,5.45,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-07,7.84,9.68,6.00,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-08,7.93,9.91,5.95,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-09,7.93,9.91,5.95,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-10,7.93,9.91,5.95,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-11,5.10,10.19,5.95,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-12,5.10,10.19,5.95,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-13,4.99,9.98,5.95,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-14,2.77,9.98,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-15,2.77,9.98,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-16,2.77,9.98,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-17,2.77,9.98,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-18,8.10,10.12,6.08,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-19,3.07,10.12,6.15,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
