Date,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
2017-01-01,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-02,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-03,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-04,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-05,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-06,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-07,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-08,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-09,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-10,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-11,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-12,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-13,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-14,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-15,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-16,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-17,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-18,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-19,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-20,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.05,55.00
2017-01-21,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.05,55.00
2017-01-22,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.05,55.00
2017-01-23,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-24,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-25,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-26,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-27,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-28,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-29,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-30,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-01-31,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.05,55.00
2017-02-01,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.11,73.40
2017-02-02,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.11,73.40
2017-02-03,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.11,73.40
2017-02-04,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.11,73.40
2017-02-05,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.11,73.40
2017-02-06,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.11,73.40
2017-02-07,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,0.00,1.11,73.40
2017-02-08,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-09,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-10,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-11,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-12,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-13,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-14,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-15,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-16,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-17,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-18,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-19,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
2017-02-20,15.32,2,0,184280929,87069495,4.25,66304528,370420115,8679738,1,67350,6,1.00,1.11,73.40
